"experiment","age","participant","condition","trial","rating"
"constrained","4_years",40,"additive","oo",0
"constrained","4_years",40,"additive","om",0
"constrained","4_years",40,"additive","oc",12.5
"constrained","4_years",40,"additive","mo",7.5
"constrained","4_years",40,"additive","mm",20
"constrained","4_years",40,"additive","mc",15.5
"constrained","4_years",40,"additive","co",20
"constrained","4_years",40,"additive","cm",20
"constrained","4_years",40,"additive","cc",20
"constrained","4_years",41,"additive","oo",0.5
"constrained","4_years",41,"additive","om",2
"constrained","4_years",41,"additive","oc",11
"constrained","4_years",41,"additive","mo",8.25
"constrained","4_years",41,"additive","mm",18.25
"constrained","4_years",41,"additive","mc",13.75
"constrained","4_years",41,"additive","co",18.5
"constrained","4_years",41,"additive","cm",18.75
"constrained","4_years",41,"additive","cc",20
"constrained","4_years",42,"additive","oo",1.5
"constrained","4_years",42,"additive","om",0.5
"constrained","4_years",42,"additive","oc",10
"constrained","4_years",42,"additive","mo",8.75
"constrained","4_years",42,"additive","mm",15.25
"constrained","4_years",42,"additive","mc",16
"constrained","4_years",42,"additive","co",20
"constrained","4_years",42,"additive","cm",20
"constrained","4_years",42,"additive","cc",20
"constrained","4_years",43,"additive","oo",2.5
"constrained","4_years",43,"additive","om",6
"constrained","4_years",43,"additive","oc",12.5
"constrained","4_years",43,"additive","mo",5.75
"constrained","4_years",43,"additive","mm",15
"constrained","4_years",43,"additive","mc",13.5
"constrained","4_years",43,"additive","co",18.5
"constrained","4_years",43,"additive","cm",20
"constrained","4_years",43,"additive","cc",20
"constrained","4_years",44,"additive","oo",0.5
"constrained","4_years",44,"additive","om",1.75
"constrained","4_years",44,"additive","oc",12.25
"constrained","4_years",44,"additive","mo",4.75
"constrained","4_years",44,"additive","mm",15.5
"constrained","4_years",44,"additive","mc",12.75
"constrained","4_years",44,"additive","co",17.5
"constrained","4_years",44,"additive","cm",20
"constrained","4_years",44,"additive","cc",20
"constrained","4_years",45,"additive","oo",0
"constrained","4_years",45,"additive","om",1
"constrained","4_years",45,"additive","oc",10
"constrained","4_years",45,"additive","mo",4.25
"constrained","4_years",45,"additive","mm",18.75
"constrained","4_years",45,"additive","mc",14.75
"constrained","4_years",45,"additive","co",17.5
"constrained","4_years",45,"additive","cm",20
"constrained","4_years",45,"additive","cc",20
"constrained","4_years",70,"additive","oo",1.25
"constrained","4_years",70,"additive","om",1.25
"constrained","4_years",70,"additive","oc",15.75
"constrained","4_years",70,"additive","mo",4.25
"constrained","4_years",70,"additive","mm",14.5
"constrained","4_years",70,"additive","mc",16
"constrained","4_years",70,"additive","co",19.25
"constrained","4_years",70,"additive","cm",18.5
"constrained","4_years",70,"additive","cc",16.25
"constrained","4_years",73,"additive","oo",3
"constrained","4_years",73,"additive","om",3.5
"constrained","4_years",73,"additive","oc",16.25
"constrained","4_years",73,"additive","mo",3
"constrained","4_years",73,"additive","mm",16.75
"constrained","4_years",73,"additive","mc",13.5
"constrained","4_years",73,"additive","co",16.75
"constrained","4_years",73,"additive","cm",18.75
"constrained","4_years",73,"additive","cc",20
"constrained","4_years",75,"additive","oo",0.5
"constrained","4_years",75,"additive","om",5.25
"constrained","4_years",75,"additive","oc",11.5
"constrained","4_years",75,"additive","mo",6.5
"constrained","4_years",75,"additive","mm",19.5
"constrained","4_years",75,"additive","mc",16.75
"constrained","4_years",75,"additive","co",18.5
"constrained","4_years",75,"additive","cm",18.25
"constrained","4_years",75,"additive","cc",18.5
"constrained","4_years",80,"additive","oo",0.5
"constrained","4_years",80,"additive","om",3
"constrained","4_years",80,"additive","oc",11.75
"constrained","4_years",80,"additive","mo",4.75
"constrained","4_years",80,"additive","mm",18
"constrained","4_years",80,"additive","mc",14.25
"constrained","4_years",80,"additive","co",19.75
"constrained","4_years",80,"additive","cm",17.5
"constrained","4_years",80,"additive","cc",20
"constrained","4_years",83,"additive","oo",6
"constrained","4_years",83,"additive","om",3.5
"constrained","4_years",83,"additive","oc",15.25
"constrained","4_years",83,"additive","mo",6
"constrained","4_years",83,"additive","mm",15.25
"constrained","4_years",83,"additive","mc",14.25
